broken,carcase,distance,drive_unit,fuel,model,power,price,transmission,volume,year
True,хетчбэк,119000,задний,бензин, BMW 1 серия,136,710000,AT,1.6,2013
True,внедорожник,97000,полный,дизель, BMW X6,381,3000000,AT,3.0,2013
True,седан,230000,задний,дизель, BMW 7 серия,218,580000,AT,3.0,2003
True,седан,146048,полный,дизель, BMW 3 серия,184,970000,AT,2.0,2013
True,внедорожник,62000,полный,дизель, BMW X3,184,1199900,AT,2.0,2013
True,внедорожник,73000,полный,бензин, BMW X5,306,2399900,AT,3.0,2014
True,седан,320000,задний,бензин, BMW 3 серия,193,150000,MT,2.5,1993
True,внедорожник,185756,полный,дизель, BMW X6,286,1198000,AT,3.0,2008
True,седан,94000,задний,бензин, BMW 3 серия,218,511111,AT,2.5,2007
True,хетчбэк,149000,задний,бензин, BMW 1 серия,136,580000,AT,1.6,2012
True,седан,244000,задний,бензин, BMW 3 серия,170,410000,AT,2.2,2004
True,купе,32090,полный,дизель, BMW 4 серия,190,1849888,AT,2.0,2016
True,седан,204000,задний,бензин, BMW 3 серия,218,470000,AT,2.5,2005
True,седан,94000,полный,бензин, BMW 7 серия,320,2100000,AT,3.0,2015
True,седан,67000,полный,дизель, BMW 7 серия,265,3850000,AT,3.0,2016
True,седан,66000,задний,бензин, BMW 5 серия,245,1169900,AT,2.0,2012
True,седан,102000,задний,бензин, BMW 5 серия,184,1099000,AT,2.0,2013
True,внедорожник,52000,полный,гибрид, BMW X6,408,1737000,AT,4.4,2011
True,внедорожник,198000,полный,бензин, BMW X3,191,450000,AT,2.5,2004
True,универсал,326200,задний,бензин, BMW 5 серия,113,90000,MT,1.8,1993
True,седан,215000,задний,бензин, BMW 5 серия,150,180000,MT,2.0,1993
True,внедорожник,73000,полный,дизель, BMW X5,313,2899000,AT,3.0,2015
True,седан,72100,задний,бензин, BMW 5 серия,184,1585000,AT,2.0,2014
True,седан,67000,задний,дизель, BMW 5 серия,190,1649999,AT,2.0,2015
True,внедорожник,118000,полный,бензин, BMW X6,306,1300000,AT,3.5,2010
True,седан,999999,задний,бензин, BMW 5 серия,150,150000,MT,2.0,1996
